config,defense,clip_norm,noise_std,round,accuracy,loss,train_loss,learning_rate,update_norm,clipping_scale,noise_std_recorded
fedsgd_defutil_r50_none,none,0.0,0.0,0,0.1,2.9329,,,,,
fedsgd_defutil_r50_none,none,0.0,0.0,1,0.1018,2.3243,2.376134641778857,0.05,0.11001250353633471,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,2,0.1252,2.2803,2.314733872908855,0.049953771336882564,0.0788646312613515,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,3,0.1554,2.2562,2.2720945229905385,0.04981527531102303,0.06245446482510204,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,4,0.1619,2.2309,2.2551616192507775,0.04958508103229897,0.05764868123206018,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,5,0.179,2.2189,2.2329533985301406,0.049264134418378173,0.05544864116744629,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,6,0.1815,2.1946,2.220471774740776,0.04885375430774004,0.05520271509345594,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,7,0.1853,2.1866,2.2021769904108,0.04835562704028548,0.055849238197733256,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,8,0.1972,2.1636,2.1891673266085943,0.04777179952780443,0.05714974303903672,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,9,0.1926,2.1569,2.1718955614833964,0.04710467084277627,0.058540287980418354,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,10,0.2119,2.1325,2.1612585778653406,0.04635698236006642,0.059270971246099854,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,11,0.2013,2.1252,2.144038594217919,0.04553180649202902,0.05831931725358974,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,12,0.2275,2.1031,2.13010190929125,0.04463253406330553,0.05831325634532755,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,13,0.2049,2.094,2.115324848121068,0.04366286037719887,0.05567407922751173,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,14,0.2376,2.0744,2.1006655896912276,0.04262677003087963,0.05345363382940588,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,15,0.2134,2.0628,2.0890129992434834,0.04152852054182151,0.04990299995887088,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,16,0.2426,2.044,2.0732658860611792,0.040372624852748826,0.04591877215896611,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,17,0.2324,2.0328,2.0609421341638217,0.03916383278698681,0.04193814872188046,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,18,0.248,2.017,2.0480285202767217,0.0379071115304188,0.03688522226576853,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,19,0.2524,2.0055,2.037796696839771,0.03660762522025386,0.03282368635548547,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,20,0.2526,1.9933,2.026119110911982,0.03527071372447942,0.02848582915575969,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,21,0.2649,1.9834,2.015613902156976,0.033901870699198235,0.02536581167699291,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,22,0.2637,1.9735,2.0058410186649316,0.032506721014017075,0.022872549048323868,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,23,0.2728,1.9655,1.996650580400419,0.03109099763825104,0.02118563195355686,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,24,0.269,1.9584,1.9909568294309796,0.029660518082922846,0.01977424257049737,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,25,0.2734,1.9514,1.9824740197504869,0.02822116049536225,0.018648175415111913,0.9999999999999998,0.0
fedsgd_defutil_r50_none,none,0.0,0.0,26,0.2729,1.945,1.9764157845572334,0.026778839504637757,0.01752964252807862,0.9999999999999998,0.0
