algorithm,server_strategy,round,local_epochs,clients,learning_rate,batch_size,seed,train_loss,test_loss,test_accuracy
fedavg,fedavg,0,2,6,0.03,32,42,,2.9328789893229295,0.1000
fedavg,fedavg,1,2,6,0.03,32,42,2.0147179477987187,2.4032054357467945,0.1012
fedavg,fedavg,2,2,6,0.03,32,42,1.727172913176813,1.6568424944665021,0.3807
fedavg,fedavg,3,2,6,0.03,32,42,1.4692163081993628,1.218658460932932,0.5592
fedavg,fedavg,4,2,6,0.03,32,42,1.2551990230534635,1.0637057560264684,0.6190
fedavg,fedavg,5,2,6,0.03,32,42,1.0981720176705323,0.9615712124071304,0.6607
fedavg,fedavg,10,2,6,0.03,32,42,0.6734899265417396,0.5937413434693768,0.8007
fedavg,fedavg,15,2,6,0.03,32,42,0.4749617503794325,0.5001137717893929,0.8371
fedavg,fedavg,18,2,6,0.03,32,42,0.4000414445949809,0.504101456160758,0.8386
fedavg,fedavg,19,2,6,0.03,32,42,0.38140795920741694,0.5073985396676762,0.8380
fedavg,fedavg,20,2,6,0.03,32,42,0.36476031866923836,0.5094992078033982,0.8396
